family,case,metric,method,reported_mean,reported_std,winner_probability,rank_entropy
Poisson,3d-CG,L2RE,RAR,0.576,0.054,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,gPINN,0.485,0.057,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,vPINN,0.738,0.000647,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,LAAF,0.579,0.0265,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,GAAF,0.502,0.0747,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,FBPINN,0.739,0.0724,0.0,0.000829203262850505
Wave,1d-C,L2RE,NTK,0.0979,0.00772,0.89248,0.1423326039019116
Wave,1d-C,L2RE,MultiAdam,0.121,0.0176,0.10752,0.1423326039019116
Wave,1d-C,L2RE,PINN,0.588,0.0963,0.0,0.1423326039019116
Wave,1d-C,L2RE,PINN-w,0.285,0.00897,0.0,0.1423326039019116
Wave,1d-C,L2RE,LRA,0.361,0.0195,0.0,0.1423326039019116
Wave,1d-C,L2RE,RAR,0.539,0.0177,0.0,0.1423326039019116
Wave,1d-C,L2RE,gPINN,0.556,0.0167,0.0,0.1423326039019116
Wave,1d-C,L2RE,vPINN,0.839,0.0594,0.0,0.1423326039019116
Wave,1d-C,L2RE,LAAF,0.454,0.0108,0.0,0.1423326039019116
Wave,1d-C,L2RE,GAAF,0.677,0.105,0.0,0.1423326039019116
Wave,1d-C,L2RE,FBPINN,0.591,0.0474,0.0,0.1423326039019116
Wave,2d-CG,L2RE,vPINN,0.799,0.0431,0.43621,0.46165431487633324
Wave,2d-CG,L2RE,GAAF,0.794,0.00933,0.41188,0.46165431487633324
Wave,2d-CG,L2RE,LAAF,0.819,0.0267,0.11456,0.46165431487633324
Wave,2d-CG,L2RE,gPINN,0.814,0.0118,0.03515,0.46165431487633324
Wave,2d-CG,L2RE,MultiAdam,1.09,0.124,0.00212,0.46165431487633324
Wave,2d-CG,L2RE,RAR,1.15,0.106,5e-05,0.46165431487633324
Wave,2d-CG,L2RE,FBPINN,1.06,0.0754,3e-05,0.46165431487633324
Wave,2d-CG,L2RE,PINN,1.84,0.34,0.0,0.46165431487633324
Wave,2d-CG,L2RE,PINN-w,1.66,0.0739,0.0,0.46165431487633324
Wave,2d-CG,L2RE,LRA,1.48,0.103,0.0,0.46165431487633324
Wave,2d-CG,L2RE,NTK,2.16,0.101,0.0,0.46165431487633324
Wave,2d-MS,L2RE,vPINN,0.982,0.00123,0.82533,0.29519977692603
Wave,2d-MS,L2RE,GAAF,1.06,0.0535,0.06374,0.29519977692603
Wave,2d-MS,L2RE,RAR,1.35,0.243,0.0418,0.29519977692603
Wave,2d-MS,L2RE,PINN,1.34,0.234,0.04162,0.29519977692603
Wave,2d-MS,L2RE,NTK,1.04,0.0311,0.02482,0.29519977692603
Wave,2d-MS,L2RE,LRA,1.02,0.0136,0.00221,0.29519977692603
Wave,2d-MS,L2RE,PINN-w,1.02,0.0116,0.00048,0.29519977692603
Wave,2d-MS,L2RE,MultiAdam,1.01,0.00564,0.0,0.29519977692603
Wave,2d-MS,L2RE,gPINN,1.02,0.004,0.0,0.29519977692603
Wave,2d-MS,L2RE,LAAF,1.06,0.0171,0.0,0.29519977692603
Wave,2d-MS,L2RE,FBPINN,1.03,0.00668,0.0,0.29519977692603
