paper,source,metric,family,case,method,mean,std,n_runs
2306.08827v2,main_table,L2RE,Chaotic,GS,PINN-w,0.158,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,LBFGS,,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,LRA,0.0937,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,NTK,0.216,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,RAR,0.0946,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,MultiAdam,0.0937,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,gPINN,0.248,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,vPINN,1.16,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,LAAF,0.0947,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,GAAF,0.0946,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,FBPINN,0.0799,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,PINN,1.01,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,PINN-w,0.986,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,LBFGS,,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,LRA,0.957,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,NTK,0.964,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,RAR,1.01,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,MultiAdam,0.961,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,gPINN,0.994,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,vPINN,0.972,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,LAAF,1.01,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,GAAF,1.0,,3
2306.08827v2,main_table,L2RE,Chaotic,KS,FBPINN,1.02,,3
2306.08827v2,main_table,L2RE,High dim,PNd,PINN,0.00304,,3
2306.08827v2,main_table,L2RE,High dim,PNd,PINN-w,0.00258,,3
2306.08827v2,main_table,L2RE,High dim,PNd,LBFGS,0.000467,,3
2306.08827v2,main_table,L2RE,High dim,PNd,LRA,0.000458,,3
2306.08827v2,main_table,L2RE,High dim,PNd,NTK,0.00464,,3
2306.08827v2,main_table,L2RE,High dim,PNd,RAR,0.00359,,3
2306.08827v2,main_table,L2RE,High dim,PNd,MultiAdam,0.00398,,3
2306.08827v2,main_table,L2RE,High dim,PNd,gPINN,0.00505,,3
2306.08827v2,main_table,L2RE,High dim,PNd,vPINN,,,3
2306.08827v2,main_table,L2RE,High dim,PNd,LAAF,0.00414,,3
2306.08827v2,main_table,L2RE,High dim,PNd,GAAF,0.00775,,3
2306.08827v2,main_table,L2RE,High dim,PNd,FBPINN,,,3
2306.08827v2,main_table,L2RE,High dim,HNd,PINN,0.361,,3
2306.08827v2,main_table,L2RE,High dim,HNd,PINN-w,0.459,,3
2306.08827v2,main_table,L2RE,High dim,HNd,LBFGS,0.000119,,3
2306.08827v2,main_table,L2RE,High dim,HNd,LRA,0.394,,3
2306.08827v2,main_table,L2RE,High dim,HNd,NTK,0.397,,3
2306.08827v2,main_table,L2RE,High dim,HNd,RAR,0.357,,3
2306.08827v2,main_table,L2RE,High dim,HNd,MultiAdam,0.302,,3
2306.08827v2,main_table,L2RE,High dim,HNd,gPINN,0.317,,3
2306.08827v2,main_table,L2RE,High dim,HNd,vPINN,,,3
2306.08827v2,main_table,L2RE,High dim,HNd,LAAF,0.522,,3
2306.08827v2,main_table,L2RE,High dim,HNd,GAAF,0.521,,3
2306.08827v2,main_table,L2RE,High dim,HNd,FBPINN,,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,PINN,0.0942,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,PINN-w,0.166,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,LBFGS,,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,LRA,0.154,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,NTK,0.193,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,RAR,0.0935,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,MultiAdam,0.13,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,gPINN,0.0803,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,vPINN,0.0196,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,LAAF,0.13,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,GAAF,0.254,,3
2306.08827v2,main_table,L2RE,Inverse,PInv,FBPINN,0.844,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,PINN,1.57,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,PINN-w,0.0526,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,LBFGS,,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,LRA,0.0509,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,NTK,0.0752,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,RAR,1.52,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,MultiAdam,0.0804,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,gPINN,4.84,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,vPINN,0.0119,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,LAAF,0.559,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,GAAF,0.212,,3
2306.08827v2,main_table,L2RE,Inverse,HInv,FBPINN,0.927,,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,PINN,0.0145,0.00159,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,PINN-w,0.0263,0.00468,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,LRA,0.0261,0.0118,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,NTK,0.0184,0.00366,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,RAR,0.0332,0.0214,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,MultiAdam,0.0485,0.0161,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,gPINN,0.216,0.0334,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,vPINN,0.347,0.0349,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,LAAF,0.0143,0.00144,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,GAAF,0.052,0.0208,3
2306.08827v2,appendix_table,L2RE,Burgers,1d-C,FBPINN,0.232,0.0914,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,PINN,0.324,0.000754,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,PINN-w,0.27,0.00393,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,LRA,0.26,0.00578,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,NTK,0.275,0.00478,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,RAR,0.345,4.56e-05,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,MultiAdam,0.333,0.00865,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,gPINN,0.327,0.000125,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,vPINN,0.638,0.0147,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,LAAF,0.277,0.0139,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,GAAF,0.295,0.0117,3
2306.08827v2,appendix_table,L2RE,Burgers,2d-C,FBPINN,,,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,PINN,0.694,0.00878,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,PINN-w,0.0349,0.00691,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,LRA,0.117,0.126,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,NTK,0.0123,0.00737,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,RAR,0.699,0.00746,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,MultiAdam,0.0263,0.00657,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,gPINN,0.687,0.0187,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,vPINN,0.491,0.0155,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,LAAF,0.768,0.047,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,GAAF,0.604,0.0752,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-C,FBPINN,0.0449,0.00791,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,PINN,0.636,0.00257,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,PINN-w,0.0608,0.00488,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,LRA,0.0434,0.00795,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,NTK,0.0143,0.00431,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,RAR,0.648,0.00787,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,MultiAdam,0.276,0.103,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,gPINN,0.792,0.00456,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,vPINN,0.286,0.002,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,LAAF,0.48,0.0143,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,GAAF,0.871,0.267,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-CG,FBPINN,0.029,0.00392,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,PINN,0.56,0.0284,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,PINN-w,0.374,0.0323,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,LRA,0.102,0.0316,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,NTK,0.947,0.000494,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,RAR,0.576,0.054,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,MultiAdam,0.363,0.0781,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,gPINN,0.485,0.057,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,vPINN,0.738,0.000647,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,LAAF,0.579,0.0265,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,GAAF,0.502,0.0747,3
2306.08827v2,appendix_table,L2RE,Poisson,3d-CG,FBPINN,0.739,0.0724,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,PINN,0.63,0.0107,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,PINN-w,0.76,0.00696,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,LRA,0.794,0.0651,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,NTK,0.748,0.00994,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,RAR,0.644,0.0213,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,MultiAdam,0.59,0.0406,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,gPINN,0.616,0.0174,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,vPINN,0.972,0.0223,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,LAAF,0.593,0.118,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,GAAF,0.931,0.0712,3
2306.08827v2,appendix_table,L2RE,Poisson,2d-MS,FBPINN,1.04,6.13e-05,3
2306.08827v2,appendix_table,L2RE,Heat,2d-VC,PINN,1.01,0.0634,3
2306.08827v2,appendix_table,L2RE,Heat,2d-VC,PINN-w,0.235,0.017,3
2306.08827v2,appendix_table,L2RE,Heat,2d-VC,LRA,0.212,0.000861,3
2306.08827v2,appendix_table,L2RE,Heat,2d-VC,NTK,0.214,0.00582,3
2306.08827v2,appendix_table,L2RE,Heat,2d-VC,RAR,0.966,0.0186,3
2306.08827v2,appendix_table,L2RE,Heat,2d-VC,MultiAdam,0.475,0.0844,3
